rank,regParam,map,ndcg,rmse
10,0.001,5.801459253916139E-7,1.0876440160778462E-5,0.8699544076222453
10,0.005,1.0713373791793925E-6,1.6276363486232546E-5,0.837563438979298
10,0.01,9.718405306002436E-7,1.9020921857516047E-5,0.8196404017760381
10,0.05,1.1427668207697666E-4,0.0013640121562910606,0.7949761702576071
10,0.1,3.267746622889007E-5,4.293754335372788E-4,0.829277894205987
75,0.001,3.3682661079250054E-4,0.001781533379697279,1.1754781916026216
75,0.005,0.0029180090198324964,0.014903692395916041,0.995894280070593
75,0.01,0.004928109321034891,0.02585754115847144,0.9299777338403967
75,0.05,0.006611855160579289,0.03490518690648016,0.8012141234746409
75,0.1,1.4622548645136515E-4,0.001451347626231745,0.8281177005736479
200,0.001,0.0030767989801811133,0.018314897021555917,1.1293890940524542
200,0.005,0.00861803158180746,0.04659776481735366,1.0041924896061978
200,0.01,0.009819860836792888,0.05387699305142233,0.9592944863230934
200,0.05,0.009654604794226954,0.047675525677784665,0.8050993150874425
200,0.1,1.4681201248262598E-4,0.0014584667542891785,0.8281280790021074
